"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\active-services\page.tsx", "TypeScript JSX", 196, 0, 0, 0, 0, 6, 202
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\address\addresses\[id]\route.ts", "TypeScript", 0, 0, 11, 0, 0, 2, 13
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\address\deleteAddress\[id]\route.ts", "TypeScript", 0, 0, 12, 0, 0, 3, 15
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\address\editAddress\route.ts", "TypeScript", 0, 0, 24, 0, 0, 4, 28
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\address\newAddress\route.ts", "TypeScript", 0, 0, 24, 0, 0, 4, 28
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\editName\route.ts", "TypeScript", 0, 0, 13, 0, 0, 3, 16
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\signup\route.ts", "TypeScript", 0, 0, 13, 0, 0, 3, 16
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\testimonials\route.ts", "TypeScript", 0, 0, 13, 0, 0, 4, 17
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\api\user\[id]\route.ts", "TypeScript", 0, 0, 11, 0, 0, 2, 13
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\book-service\[id]\page.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 4, 41
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\globals.css", "CSS", 0, 6, 0, 0, 0, 2, 8
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\layout.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 3, 24
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\login\page.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 3, 23
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\page.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\profile\page.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 3, 28
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\search\page.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 5, 67
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\services\home\cleaning\page.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 3, 32
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\services\home\page.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 3, 30
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\services\page.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 3, 30
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\signup\page.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 3, 23
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\app\sitemap.xml", "XML", 0, 0, 0, 32, 0, 4, 36
"Total", "-", 486, 6, 121, 32, 0, 69, 714
